1,33
922,1189
4130,4447
4449,4678
7134,7623
9963,10547
12757,13280
15971,16415
19536,19572
19574,20100
22399,22684
22686,22891
25185,25739
27721,28038
28040,28162
29756,29807
29809,30218
33166,33474
36028,36463
38932,39354
41416,41611
41613,41643
41645,41920
44196,44474
44476,44763
46824,47247
47249,47358
48850,48930
48932,49513
52537,52785
52787,52923
55311,55759
55761,55873
58032,58409
58411,58638
60387,60798
63190,63288
63290,63416
63418,63523
65686,65713
65715,66051
68250,68596
70149,70380
70382,70800
71544,71673
72872,72969
76021,76051
76254,76439
78431,78434
78436,78483
78485,78513
78516,78634
78636,78764
80722,80746
80748,80793
81025,81034
85891,86064
